symbol,avg_daily_return,volatility,log_volume,log_price,cluster
A,0.000306,0.015787,6.340827,1.691061,1
AAL,0.000965,0.022389,6.989072,1.627621,1
AAP,9.6e-05,0.019471,6.055878,2.155904,0
AAPL,0.00086,0.014309,7.654846,2.067591,1
ABBV,0.000753,0.016436,6.924736,1.801666,1
ABC,0.000378,0.014583,6.305379,1.939641,0
ABT,0.000474,0.012231,6.837433,1.644168,1
ACN,0.000698,0.011587,6.395352,2.022107,0
ADBE,0.001191,0.015091,6.457098,1.988516,0
ADI,0.000707,0.015442,6.401679,1.801132,0
ADM,3.6e-05,0.014503,6.548058,1.641976,1
ADP,0.000454,0.011941,6.317214,1.953306,0
ADS,0.000124,0.017627,5.798016,2.399111,0
ADSK,0.000933,0.019083,6.375595,1.835697,0
AEE,0.000564,0.010921,6.210212,1.671843,0
AEP,0.000521,0.010705,6.423608,1.784865,0
AES,-0.000146,0.015978,6.739545,1.086746,1
AET,0.001091,0.015133,6.424812,2.051646,0
AFL,0.000332,0.009746,6.301131,1.827649,0
AGN,0.00014,0.018249,6.50671,2.388703,0
AIG,0.000238,0.012463,6.868499,1.762222,1
AIV,0.00059,0.011833,6.083918,1.59413,0
AIZ,0.000519,0.013142,5.721453,1.902975,0
AJG,0.000358,0.009418,5.994306,1.692793,0
AKAM,0.000567,0.021703,6.32218,1.772476,2
ALB,0.000866,0.018069,6.091645,1.885055,0
ALGN,0.001545,0.019607,5.945423,1.946899,0
ALK,0.000869,0.018647,6.167369,1.835612,0
ALL,0.000718,0.010119,6.358497,1.846288,0
ALLE,0.000681,0.012974,5.851479,1.808176,0
ALXN,0.000182,0.024209,6.263343,2.179741,2
AMAT,0.001214,0.017413,7.126548,1.437788,1
AMD,0.001684,0.039102,7.522307,0.771485,2
AME,0.000398,0.0118,6.125846,1.72835,0
AMG,0.000114,0.017429,5.673962,2.254597,0
AMGN,0.000519,0.015176,6.534908,2.187427,0
AMP,0.000519,0.015774,6.04784,2.074445,0
AMT,0.000649,0.011528,6.330296,2.02343,0
AMZN,0.001244,0.018646,6.588846,2.791862,0
ANDV,0.000874,0.019866,6.384177,1.915426,0
ANSS,0.000614,0.012428,5.668398,1.976703,0
ANTM,0.001009,0.014477,6.268981,2.157296,0
AON,0.000543,0.01084,6.087309,2.020871,0
AOS,0.000925,0.013906,6.086338,1.592962,0
APA,-0.000408,0.024256,6.597687,1.780864,2
APC,-0.000104,0.023481,6.72618,1.839127,2
APD,0.000458,0.012144,6.122404,2.143963,0
APH,0.000751,0.011044,6.084954,1.778162,0
ARE,0.000774,0.010953,5.719746,1.984884,0
ARNC,0.0002,0.025698,6.837586,1.515103,2
ATVI,0.001419,0.018718,6.88337,1.551208,1
AVB,0.000465,0.010602,5.884087,2.227676,0
AVGO,0.00178,0.020237,6.460859,2.170494,0
AVY,0.000914,0.012619,5.886108,1.830168,0
AWK,0.000837,0.010279,5.983907,1.804662,0
AXP,0.000186,0.012738,6.683665,1.897905,1
AYI,0.000684,0.019668,5.701883,2.267891,0
AZO,0.000488,0.012965,5.506744,2.819706,0
BA,0.000852,0.013194,6.600104,2.190328,0
BAC,0.000733,0.016113,7.951157,1.261574,1
BAX,0.000135,0.017829,6.633309,1.75432,1
BBT,0.000379,0.01255,6.632614,1.600579,1
BBY,0.000824,0.024342,6.730593,1.585433,2
BDX,0.00073,0.010991,6.045276,2.191615,0
BEN,-0.000161,0.014614,6.412027,1.654539,1
BF.B,0.000673,0.011556,6.024383,1.682558,0
BIIB,0.000366,0.021729,6.238091,2.492026,0
BK,0.000526,0.013022,6.734355,1.623618,1
BLK,0.000579,0.013122,5.792764,2.556268,0
BLL,0.000468,0.012999,6.386822,1.54804,1
BMY,0.000284,0.015715,6.898796,1.773596,1
BRK.B,0.000561,0.009039,6.548862,2.168489,0
BSX,0.000843,0.015205,6.986575,1.289005,1
BWA,9.2e-05,0.018071,6.289446,1.68002,2
BXP,0.000322,0.011357,5.884783,2.097941,0
C,0.000467,0.015199,7.289705,1.731407,1
CA,8.8e-05,0.012952,6.434313,1.491122,1
CAG,0.000242,0.015355,6.517503,1.582038,1
CAH,2.8e-05,0.014335,6.359684,1.886904,0
CAT,0.000668,0.014811,6.720987,1.967015,1
CB,0.000404,0.009372,6.207735,2.077936,0
CBG,0.000629,0.016425,6.340055,1.514684,1
CBOE,0.000957,0.01173,5.879079,1.841131,0
CBS,4e-05,0.014797,6.75019,1.756893,1
CCI,0.000493,0.010735,6.384562,1.941387,0
CCL,0.000617,0.014748,6.601953,1.697424,1
CDNS,0.00118,0.013601,6.452667,1.380109,1
CELG,0.000385,0.019534,6.713121,2.037015,1
CERN,0.00031,0.014746,6.33209,1.784733,0
CF,0.000203,0.024319,6.617318,1.621404,2
CFG,0.000867,0.016671,6.720622,1.45162,1
CHD,0.000474,0.009927,6.204526,1.635698,0
CHK,-0.000865,0.045515,7.445377,1.070338,2
CHRW,0.000514,0.012978,6.202603,1.840294,0
CHTR,0.00105,0.016887,6.228018,2.350734,0
CI,0.000966,0.015107,6.210827,2.120972,0
CINF,0.000427,0.010225,5.770761,1.789108,0
CL,0.000209,0.00997,6.519921,1.838109,1
CLX,0.000532,0.009546,5.98714,2.06578,0
CMA,0.000753,0.016691,6.29501,1.726004,0
CMCSA,0.000512,0.011973,7.390999,1.498708,1
CME,0.000697,0.012085,6.191415,1.997531,0
CMG,-0.000402,0.019343,5.955236,2.713364,0
CMI,0.000348,0.014607,6.216433,2.134083,0
CMS,0.000638,0.010392,6.355809,1.580843,1
CNC,0.001448,0.021117,6.234829,1.789645,0
CNP,0.000287,0.011902,6.579298,1.36995,1
COF,0.000361,0.014724,6.480398,1.89726,0
COG,-4.2e-05,0.022158,6.806204,1.434999,2
COL,0.000703,0.013435,6.033053,1.965525,0
COO,0.000667,0.014051,5.681435,2.239681,0
COP,-3.1e-05,0.020428,6.898167,1.745645,2
COST,0.000516,0.011062,6.385262,2.169594,0
COTY,0.000481,0.022009,6.501543,1.332471,2
CPB,0.000184,0.012096,6.240531,1.710811,0
CRM,0.0008,0.019044,6.694815,1.864321,1
CSCO,0.000627,0.012368,7.419143,1.454911,1
CSRA,4.2e-05,0.018073,6.105703,1.458219,2
CSX,0.000808,0.017229,6.904497,1.54648,1
CTAS,0.001032,0.011638,5.794737,1.979868,0
CTL,-0.000469,0.018254,6.827954,1.469016,2
