emotion,emotion_group,posts
Despair,Negative,11
Grief,Negative,9
Sad,Negative,9
Confusion,Negative,8
Embarrassed,Negative,8
Loneliness,Negative,8
Bad,Negative,6
Frustration,Negative,6
Hate,Negative,6
Melancholy,Negative,6
Regret,Negative,6
Betrayal,Negative,5
Bitterness,Negative,5
Disgust,Negative,5
Numbness,Negative,5
Boredom,Negative,4
Desolation,Negative,4
Frustrated,Negative,4
Negative,Negative,4
Overwhelmed,Negative,4
Bitter,Negative,3
Devastated,Negative,3
Envious,Negative,3
Fearful,Negative,3
Heartbreak,Negative,3
Jealous,Negative,3
Jealousy,Negative,3
Resentment,Negative,3
Shame,Negative,3
Anger,Negative,2
Anxiety,Negative,2
Apprehensive,Negative,2
Disappointed,Negative,2
Disappointment,Negative,2
Dismissive,Negative,2
Envy,Negative,2
Fear,Negative,2
Helplessness,Negative,2
Intimidation,Negative,2
Isolation,Negative,2
Loss,Negative,2
Sadness,Negative,2
Sorrow,Negative,2
Darkness,Negative,1
Desperation,Negative,1
EmotionalStorm,Negative,1
Exhaustion,Negative,1
Heartache,Negative,1
LostLove,Negative,1
Miscalculation,Negative,1
Obstacle,Negative,1
Pressure,Negative,1
Ruins,Negative,1
Suffering,Negative,1
Neutral,Neutral,18
Curiosity,Neutral,16
Nostalgia,Neutral,11
Acceptance,Neutral,8
Ambivalence,Neutral,6
Indifference,Neutral,6
Surprise,Neutral,6
Arousal,Neutral,4
Reflection,Neutral,4
Anticipation,Neutral,3
Contemplation,Neutral,2
Emotion,Neutral,2
Exploration,Neutral,2
Mischievous,Neutral,2
Yearning,Neutral,2
Bittersweet,Neutral,1
Challenge,Neutral,1
Envisioning History,Neutral,1
Immersion,Neutral,1
InnerJourney,Neutral,1
Intrigue,Neutral,1
Journey,Neutral,1
Pensive,Neutral,1
Renewed Effort,Neutral,1
Solitude,Neutral,1
Suspense,Neutral,1
Sympathy,Neutral,1
Whispers of the Past,Neutral,1
Positive,Positive,45
Joy,Positive,44
Excitement,Positive,37
Contentment,Positive,18
Gratitude,Positive,17
Serenity,Positive,15
Happy,Positive,14
Awe,Positive,9
Determination,Positive,7
Elation,Positive,7
Enthusiasm,Positive,7
Euphoria,Positive,7
Pride,Positive,7
Empowerment,Positive,5
Happiness,Positive,5
Hope,Positive,5
Hopeful,Positive,5
Inspiration,Positive,5
Admiration,Positive,4
Calmness,Positive,4
Compassion,Positive,4
Enchantment,Positive,4
Fulfillment,Positive,4
Reverence,Positive,4
Tenderness,Positive,4
Thrill,Positive,4
Accomplishment,Positive,3
Adventure,Positive,3
Amusement,Positive,3
Creativity,Positive,3
Grateful,Positive,3
Harmony,Positive,3
Inspired,Positive,3
Kind,Positive,3
Love,Positive,3
Playful,Positive,3
Satisfaction,Positive,3
Wonder,Positive,3
Adoration,Positive,2
Affection,Positive,2
Captivation,Positive,2
Compassionate,Positive,2
Confident,Positive,2
Empathetic,Positive,2
Enjoyment,Positive,2
Free-spirited,Positive,2
Proud,Positive,2
Radiance,Positive,2
Resilience,Positive,2
Tranquility,Positive,2
Whimsy,Positive,2
Zest,Positive,2
Adrenaline,Positive,1
Amazement,Positive,1
Appreciation,Positive,1
ArtisticBurst,Positive,1
Blessed,Positive,1
Breakthrough,Positive,1
Celebration,Positive,1
Celestial Wonder,Positive,1
Charm,Positive,1
Colorful,Positive,1
Confidence,Positive,1
Connection,Positive,1
Coziness,Positive,1
Creative Inspiration,Positive,1
Culinary Adventure,Positive,1
CulinaryOdyssey,Positive,1
Dazzle,Positive,1
DreamChaser,Positive,1
Ecstasy,Positive,1
Elegance,Positive,1
Energy,Positive,1
Engagement,Positive,1
FestiveJoy,Positive,1
Freedom,Positive,1
Friendship,Positive,1
Grandeur,Positive,1
Heartwarming,Positive,1
Hypnotic,Positive,1
Iconic,Positive,1
Imagination,Positive,1
Joy in Baking,Positive,1
JoyfulReunion,Positive,1
Kindness,Positive,1
Marvel,Positive,1
Melodic,Positive,1
Mesmerizing,Positive,1
Mindfulness,Positive,1
Motivation,Positive,1
Nature's Beauty,Positive,1
Ocean's Freedom,Positive,1
Optimism,Positive,1
Overjoyed,Positive,1
PlayfulJoy,Positive,1
Positivity,Positive,1
Rejuvenation,Positive,1
Relief,Positive,1
Romance,Positive,1
Runway Creativity,Positive,1
Solace,Positive,1
Spark,Positive,1
Success,Positive,1
Thrilling Journey,Positive,1
Touched,Positive,1
Triumph,Positive,1
Vibrancy,Positive,1
Winter Magic,Positive,1
Wonderment,Positive,1
